<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:22:56	0,28	0,22	0,25	0,27	0,15	0,10	0,14	0,12	0,05	0,08	0,13	0,21	0,00	0,00	0,00	1,51
12.06.2025 13:22:57	0,33	0,19	0,21	0,19	0,14	0,13	0,11	0,12	0,05	0,08	0,26	0,00	0,34	1,69	0,00	1,51
12.06.2025 13:22:58	0,30	0,23	0,25	0,25	0,13	0,09	0,18	0,03	0,05	0,08	0,00	0,63	0,34	0,56	0,00	1,51
12.06.2025 13:22:59	0,31	0,22	0,18	0,24	0,13	0,15	0,11	0,12	0,10	0,31	0,26	0,21	0,00	1,12	0,00	1,51
12.06.2025 13:23:00	0,29	0,21	0,26	0,25	0,14	0,18	0,07	0,00	0,05	0,08	0,13	0,42	0,34	0,56	0,00	6,03
12.06.2025 13:23:01	0,32	0,25	0,22	0,26	0,18	0,09	0,02	0,00	0,24	0,00	0,13	0,42	0,69	0,56	0,00	0,00
12.06.2025 13:23:02	0,32	0,21	0,25	0,24	0,09	0,18	0,11	0,06	0,00	0,00	0,38	0,63	0,00	1,12	0,00	0,00
12.06.2025 13:23:03	0,31	0,23	0,22	0,25	0,12	0,07	0,09	0,03	0,10	0,16	0,26	0,84	0,34	0,56	0,00	1,51
12.06.2025 13:23:04	0,31	0,23	0,26	0,22	0,10	0,20	0,12	0,06	0,19	0,08	0,26	0,63	1,03	0,56	0,00	3,02
12.06.2025 13:23:05	0,34	0,24	0,22	0,22	0,15	0,16	0,04	0,06	0,00	0,23	0,13	0,42	0,34	0,00	0,00	0,00
12.06.2025 13:23:06	0,31	0,25	0,22	0,19	0,12	0,10	0,09	0,12	0,10	0,16	0,00	0,63	0,69	1,12	0,92	3,02
12.06.2025 13:23:07	0,31	0,24	0,26	0,24	0,17	0,12	0,04	0,06	0,00	0,16	0,13	0,63	0,00	0,56	0,00	1,51
12.06.2025 13:23:08	0,33	0,18	0,25	0,26	0,20	0,10	0,14	0,09	0,00	0,16	0,26	0,21	0,34	1,12	0,92	3,02
12.06.2025 13:23:09	0,29	0,23	0,22	0,26	0,13	0,13	0,05	0,12	0,00	0,08	0,38	0,00	0,34	0,56	0,00	1,51
12.06.2025 13:23:10	0,30	0,23	0,22	0,24	0,12	0,11	0,09	0,15	0,05	0,31	0,00	0,21	0,69	0,56	1,84	3,02
12.06.2025 13:23:11	0,29	0,24	0,28	0,23	0,21	0,13	0,12	0,09	0,10	0,16	0,38	0,21	0,34	1,12	0,00	3,02
12.06.2025 13:23:12	0,33	0,21	0,22	0,25	0,18	0,08	0,11	0,03	0,10	0,00	0,64	0,21	0,00	0,00	0,00	1,51
12.06.2025 13:23:13	0,29	0,24	0,24	0,27	0,20	0,11	0,12	0,06	0,10	0,08	0,13	0,21	0,34	0,56	0,00	3,02
12.06.2025 13:23:14	0,30	0,23	0,20	0,28	0,16	0,10	0,11	0,12	0,10	0,00	0,38	0,42	0,34	0,00	0,00	0,00
12.06.2025 13:23:15	0,30	0,21	0,20	0,19	0,15	0,09	0,11	0,00	0,10	0,00	0,26	0,42	0,69	0,56	0,92	1,51
12.06.2025 13:23:16	0,31	0,20	0,21	0,32	0,16	0,09	0,14	0,15	0,00	0,00	0,26	0,21	0,00	0,00	0,92	0,00
12.06.2025 13:23:17	0,31	0,23	0,22	0,27	0,18	0,17	0,11	0,06	0,14	0,23	0,13	0,21	1,37	0,00	0,92	0,00
12.06.2025 13:23:18	0,31	0,26	0,23	0,23	0,09	0,13	0,18	0,06	0,05	0,23	0,00	0,42	0,00	0,56	0,92	1,51
12.06.2025 13:23:19	0,30	0,22	0,25	0,25	0,13	0,08	0,11	0,09	0,10	0,23	0,13	0,21	0,00	0,00	0,92	0,00
12.06.2025 13:23:20	0,30	0,23	0,22	0,19	0,13	0,13	0,09	0,03	0,05	0,08	0,13	0,21	0,00	0,56	0,00	0,00
