<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: counts/liter (differential)
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:22:51	14220,0	6620,0	4660,0	3450,0	1100,0	600,0	550,0	100,0	100,0	100,0	150,0	100,0	50,0	150,0	100,0	50,0
12.06.2025 13:22:52	15590,0	7220,0	5160,0	3300,0	1600,0	700,0	200,0	0,0	50,0	0,0	50,0	0,0	150,0	100,0	150,0	0,0
12.06.2025 13:22:53	15330,0	7370,0	4210,0	3000,0	1550,0	500,0	100,0	50,0	100,0	150,0	100,0	100,0	0,0	50,0	100,0	100,0
12.06.2025 13:22:54	16130,0	7470,0	4810,0	3200,0	1200,0	400,0	300,0	150,0	0,0	50,0	200,0	0,0	50,0	0,0	0,0	0,0
12.06.2025 13:22:55	18150,0	8530,0	4910,0	2550,0	1900,0	600,0	250,0	300,0	100,0	100,0	0,0	50,0	150,0	0,0	50,0	50,0
12.06.2025 13:22:56	15030,0	7270,0	5110,0	3400,0	1100,0	450,0	400,0	200,0	50,0	50,0	50,0	50,0	0,0	0,0	0,0	50,0
12.06.2025 13:22:57	18140,0	6260,0	4210,0	2300,0	1050,0	600,0	300,0	200,0	50,0	50,0	100,0	0,0	50,0	150,0	0,0	50,0
12.06.2025 13:22:58	16240,0	7470,0	4960,0	3150,0	1000,0	400,0	500,0	50,0	50,0	50,0	0,0	150,0	50,0	50,0	0,0	50,0
12.06.2025 13:22:59	16680,0	7170,0	3660,0	2950,0	1000,0	700,0	300,0	200,0	100,0	200,0	100,0	50,0	0,0	100,0	0,0	50,0
12.06.2025 13:23:00	15780,0	6970,0	5360,0	3100,0	1050,0	850,0	200,0	0,0	50,0	50,0	50,0	100,0	50,0	50,0	0,0	200,0
12.06.2025 13:23:01	17200,0	8270,0	4460,0	3250,0	1350,0	400,0	50,0	0,0	250,0	0,0	50,0	100,0	100,0	50,0	0,0	0,0
12.06.2025 13:23:02	17140,0	7020,0	4960,0	3000,0	650,0	850,0	300,0	100,0	0,0	0,0	150,0	150,0	0,0	100,0	0,0	0,0
12.06.2025 13:23:03	16630,0	7620,0	4360,0	3100,0	900,0	300,0	250,0	50,0	100,0	100,0	100,0	200,0	50,0	50,0	0,0	50,0
12.06.2025 13:23:04	16640,0	7570,0	5160,0	2700,0	750,0	900,0	350,0	100,0	200,0	50,0	100,0	150,0	150,0	50,0	0,0	100,0
12.06.2025 13:23:05	18600,0	8020,0	4510,0	2750,0	1150,0	750,0	100,0	100,0	0,0	150,0	50,0	100,0	50,0	0,0	0,0	0,0
12.06.2025 13:23:06	16890,0	8320,0	4360,0	2300,0	900,0	450,0	250,0	200,0	100,0	100,0	0,0	150,0	100,0	100,0	50,0	100,0
12.06.2025 13:23:07	16950,0	8070,0	5160,0	2950,0	1300,0	550,0	100,0	100,0	0,0	100,0	50,0	150,0	0,0	50,0	0,0	50,0
12.06.2025 13:23:08	17990,0	6070,0	4960,0	3250,0	1500,0	450,0	400,0	150,0	0,0	100,0	100,0	50,0	50,0	100,0	50,0	100,0
12.06.2025 13:23:09	15830,0	7670,0	4410,0	3250,0	1000,0	600,0	150,0	200,0	0,0	50,0	150,0	0,0	50,0	50,0	0,0	50,0
12.06.2025 13:23:10	16530,0	7520,0	4410,0	2950,0	900,0	500,0	250,0	250,0	50,0	200,0	0,0	50,0	100,0	50,0	100,0	100,0
12.06.2025 13:23:11	15780,0	7980,0	5610,0	2800,0	1550,0	600,0	350,0	150,0	100,0	100,0	150,0	50,0	50,0	100,0	0,0	100,0
12.06.2025 13:23:12	17790,0	7020,0	4360,0	3050,0	1350,0	350,0	300,0	50,0	100,0	0,0	250,0	50,0	0,0	0,0	0,0	50,0
12.06.2025 13:23:13	15930,0	7880,0	4760,0	3300,0	1500,0	500,0	350,0	100,0	100,0	50,0	50,0	50,0	50,0	50,0	0,0	100,0
12.06.2025 13:23:14	16380,0	7470,0	4060,0	3500,0	1200,0	450,0	300,0	200,0	100,0	0,0	150,0	100,0	50,0	0,0	0,0	0,0
12.06.2025 13:23:15	16230,0	6960,0	3960,0	2350,0	1150,0	400,0	300,0	0,0	100,0	0,0	100,0	100,0	100,0	50,0	50,0	50,0
12.06.2025 13:23:16	16830,0	6520,0	4260,0	3950,0	1200,0	400,0	400,0	250,0	0,0	0,0	100,0	50,0	0,0	0,0	50,0	0,0
12.06.2025 13:23:17	16890,0	7730,0	4510,0	3350,0	1350,0	800,0	300,0	100,0	150,0	150,0	50,0	50,0	200,0	0,0	50,0	0,0
12.06.2025 13:23:18	16590,0	8570,0	4660,0	2850,0	700,0	600,0	500,0	100,0	50,0	150,0	0,0	100,0	0,0	50,0	50,0	50,0
12.06.2025 13:23:19	16490,0	7420,0	4960,0	3150,0	950,0	350,0	300,0	150,0	100,0	150,0	50,0	50,0	0,0	0,0	50,0	0,0
12.06.2025 13:23:20	16580,0	7620,0	4410,0	2350,0	950,0	600,0	250,0	50,0	50,0	50,0	50,0	50,0	0,0	50,0	0,0	0,0
12.06.2025 13:23:21	16830,0	7670,0	4260,0	2650,0	1150,0	450,0	150,0	50,0	0,0	50,0	0,0	100,0	50,0	0,0	50,0	0,0
12.06.2025 13:23:22	17540,0	6970,0	5010,0	2700,0	700,0	700,0	100,0	150,0	100,0	100,0	100,0	50,0	100,0	0,0	0,0	0,0
12.06.2025 13:23:23	17950,0	9230,0	4460,0	3150,0	1150,0	650,0	200,0	100,0	150,0	50,0	50,0	100,0	50,0	50,0	0,0	100,0
12.06.2025 13:23:24	17130,0	7070,0	4260,0	2800,0	1100,0	400,0	300,0	150,0	50,0	50,0	100,0	150,0	0,0	0,0	0,0	50,0
12.06.2025 13:23:25	18250,0	7220,0	4510,0	3300,0	950,0	700,0	200,0	50,0	50,0	150,0	50,0	50,0	50,0	0,0	50,0	150,0
12.06.2025 13:23:26	17040,0	8080,0	4810,0	3350,0	1100,0	650,0	200,0	50,0	200,0	150,0	100,0	50,0	50,0	0,0	0,0	0,0
12.06.2025 13:23:27	16090,0	7070,0	5010,0	3250,0	1450,0	250,0	200,0	200,0	0,0	150,0	100,0	50,0	150,0	150,0	50,0	0,0
12.06.2025 13:23:28	17040,0	7970,0	4060,0	2900,0	1050,0	650,0	100,0	200,0	150,0	100,0	100,0	100,0	100,0	50,0	0,0	150,0
12.06.2025 13:23:29	16030,0	7920,0	4410,0	2800,0	1150,0	600,0	400,0	150,0	100,0	100,0	100,0	100,0	50,0	0,0	100,0	0,0
12.06.2025 13:23:30	16340,0	7320,0	4810,0	3050,0	1100,0	600,0	200,0	300,0	150,0	100,0	0,0	0,0	0,0	50,0	0,0	150,0
12.06.2025 13:23:31	17340,0	6920,0	4460,0	2900,0	950,0	950,0	300,0	100,0	50,0	150,0	100,0	50,0	0,0	50,0	0,0	50,0
12.06.2025 13:23:32	16280,0	6820,0	4760,0	2750,0	900,0	550,0	250,0	200,0	50,0	50,0	50,0	50,0	50,0	50,0	0,0	50,0
12.06.2025 13:23:33	15870,0	7520,0	3710,0	2350,0	1100,0	550,0	350,0	200,0	150,0	100,0	50,0	50,0	50,0	100,0	50,0	50,0
12.06.2025 13:23:34	14870,0	7770,0	4110,0	2500,0	900,0	400,0	150,0	50,0	100,0	50,0	0,0	0,0	0,0	0,0	0,0	100,0
12.06.2025 13:23:35	16230,0	7420,0	4510,0	3050,0	650,0	450,0	450,0	50,0	200,0	100,0	50,0	50,0	0,0	0,0	50,0	100,0
12.06.2025 13:23:36	17190,0	7570,0	4060,0	3100,0	1250,0	350,0	200,0	100,0	0,0	0,0	200,0	250,0	100,0	0,0	0,0	50,0
12.06.2025 13:23:37	17350,0	7870,0	5360,0	2550,0	1050,0	650,0	300,0	150,0	50,0	0,0	50,0	100,0	50,0	0,0	50,0	200,0
12.06.2025 13:23:38	16590,0	7820,0	4860,0	3150,0	1200,0	650,0	100,0	0,0	0,0	50,0	100,0	50,0	50,0	150,0	100,0	0,0
12.06.2025 13:23:39	16690,0	7770,0	5460,0	2500,0	650,0	650,0	150,0	150,0	0,0	50,0	100,0	100,0	0,0	50,0	0,0	100,0
12.06.2025 13:23:40	15490,0	8220,0	4760,0	2900,0	1050,0	600,0	400,0	150,0	150,0	50,0	200,0	100,0	50,0	50,0	50,0	0,0
12.06.2025 13:23:41	16490,0	6820,0	5110,0	3400,0	750,0	1150,0	400,0	150,0	50,0	200,0	100,0	50,0	0,0	50,0	50,0	50,0
12.06.2025 13:23:42	15930,0	7570,0	5060,0	2950,0	1150,0	550,0	100,0	50,0	100,0	200,0	0,0	150,0	50,0	50,0	50,0	0,0
12.06.2025 13:23:43	17240,0	7980,0	5110,0	3200,0	1000,0	350,0	350,0	200,0	250,0	0,0	0,0	50,0	250,0	100,0	0,0	200,0
12.06.2025 13:23:44	18090,0	7470,0	4460,0	2900,0	1150,0	550,0	150,0	50,0	50,0	50,0	100,0	100,0	0,0	0,0	0,0	0,0
12.06.2025 13:23:45	16790,0	7020,0	5160,0	2550,0	1300,0	500,0	300,0	50,0	100,0	0,0	150,0	50,0	50,0	50,0	50,0	100,0
12.06.2025 13:23:46	17840,0	7020,0	5010,0	3250,0	1150,0	400,0	200,0	50,0	100,0	50,0	50,0	0,0	50,0	0,0	0,0	100,0
12.06.2025 13:23:47	15570,0	6870,0	5010,0	2600,0	950,0	400,0	150,0	0,0	150,0	100,0	100,0	100,0	100,0	0,0	100,0	0,0
12.06.2025 13:23:48	15530,0	7380,0	4960,0	3500,0	1200,0	550,0	350,0	100,0	150,0	50,0	0,0	250,0	50,0	250,0	0,0	50,0
12.06.2025 13:23:49	17040,0	8320,0	4410,0	3050,0	1200,0	500,0	350,0	150,0	50,0	50,0	100,0	50,0	0,0	100,0	0,0	50,0
